Nominal Composition,Product  Form,Spec. No.,"UNS
No.",100,150,200,250,300,400,500,600,650,700,750,800,850,900,950,1000,1050,1100,1150,1200,1250,1300,1350,1400,1450,1500,1550,1600,1650,,,
Carbon steel,Wld.  pipe,SA-587,k11500,13700.00,#VALUE!,13700.00,#VALUE!,13700.00,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,
Carbon steel,Wld.  pipe,SA-587,k11500,11700.00,11700.00,11700.00,#VALUE!,11700.00,11700.00,11700.00,11700.00,11700.00,10600.00,9100.00,7900.00,6700.00,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,
Carbon steel,Bar,SA-675-50,,14300.00,#VALUE!,14300.00,#VALUE!,14300.00,14200.00,13600.00,12800.00,12400.00,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,
Carbon steel,Bar,SA-675-50,,14300.00,14300.00,14300.00,#VALUE!,14300.00,14200.00,13600.00,12800.00,12400.00,11900.00,10700.00,9300.00,7900.00,6500.00,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,
Carbon steel,Wld.  pipe,SA-134-A283B,,14300.00,#VALUE!,14300.00,#VALUE!,14300.00,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,
Carbon steel,Plate,SA-283-B,,14300.00,14300.00,14300.00,#VALUE!,14300.00,14300.00,14300.00,13800.00,13300.00,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,
Carbon steel,Plate,SA-285-B,,14300.00,#VALUE!,14300.00,#VALUE!,14300.00,14300.00,14300.00,13800.00,13300.00,12500.00,11000.00,9400.00,7300.00,5000.00,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,
Carbon steel,Plate,SA-285-B,,14300.00,14300.00,14300.00,#VALUE!,14300.00,14300.00,14300.00,13800.00,13300.00,12500.00,11200.00,9600.00,8100.00,5900.00,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,
Carbon steel,Plate,SA-672-A50,,14300.00,#VALUE!,14300.00,#VALUE!,14300.00,14300.00,14300.00,13800.00,13300.00,12500.00,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,
Carbon steel,Plate,SA-414-B,,14300.00,14300.00,14300.00,#VALUE!,14300.00,14300.00,14300.00,14300.00,14300.00,12500.00,11200.00,9600.00,8100.00,5900.00,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,
